word,emergence_period,emergence_index,freq_before,freq_after,persistence,freq_profile
varieties,1900-1940,2,1.4457615332011908,487.0771632172919,2,"[8.633848831667576, 1.4457615332011908, 487.0771632172919, 10.26494975877368]"
algernon,1900-1940,2,0.0,309.2373617635365,2,"[0.0, 0.0, 309.2373617635365, 311.37014268280166]"
princess,1860-1900,1,4.316924415833788,250.116745243806,3,"[4.316924415833788, 250.116745243806, 15.858326244283925, 14.827149651561983]"
countess,1860-1900,1,0.8633848831667575,217.5871107467792,3,"[0.8633848831667575, 217.5871107467792, 14.7255886554065, 11.405499731970757]"
gwendolen,1900-1940,2,1.4457615332011908,202.76002840905872,2,"[0.0, 1.4457615332011908, 202.76002840905872, 204.15844520227654]"
intermediate,1900-1940,2,3.6144038330029766,189.16717734252964,2,"[5.612001740583925, 3.6144038330029766, 189.16717734252964, 12.546049705167832]"
excellency,1860-1900,1,0.43169244158337877,172.0456224509417,2,"[0.43169244158337877, 172.0456224509417, 6.7964255332645385, 13.686599678364907]"
genus,1900-1940,2,1.4457615332011908,163.11421279834892,2,"[2.5901546495002727, 1.4457615332011908, 163.11421279834892, 5.702749865985378]"
pond,1860-1900,1,3.885231974250409,160.47953018533218,3,"[3.885231974250409, 160.47953018533218, 18.12380142203877, 6.843299839182453]"
breeds,1900-1940,2,0.7228807666005954,139.32672343192303,2,"[2.5901546495002727, 0.7228807666005954, 139.32672343192303, 7.983849812379529]"
lynch,1900-1940,2,0.7228807666005954,137.0612482541682,2,"[5.612001740583925, 0.7228807666005954, 137.0612482541682, 138.00654675684615]"
variation,1900-1940,2,1.4457615332011908,122.33565959876171,2,"[5.612001740583925, 1.4457615332011908, 122.33565959876171, 7.983849812379529]"
widely,1900-1940,2,3.6144038330029766,118.93744683212942,2,"[15.109235455418258, 3.6144038330029766, 118.93744683212942, 18.24879957115321]"
geological,1900-1940,2,0.7228807666005954,113.2737588877423,2,"[3.45353953266703, 0.7228807666005954, 113.2737588877423, 6.843299839182453]"
fertility,1900-1940,2,3.6144038330029766,112.14102129886489,2,"[1.726769766333515, 3.6144038330029766, 112.14102129886489, 9.124399785576605]"
differ,1900-1940,2,4.3372845996035725,111.00828370998747,2,"[8.202156390084197, 4.3372845996035725, 111.00828370998747, 5.702749865985378]"
variations,1900-1940,2,2.1686422998017862,109.87554612111003,2,"[2.158462207916894, 2.1686422998017862, 109.87554612111003, 9.124399785576605]"
prism,1900-1940,2,0.0,103.07912058784551,2,"[0.43169244158337877, 0.0, 103.07912058784551, 101.50894761453972]"
nymph,1900-1940,2,0.7228807666005954,88.353531932439,2,"[3.0218470910836515, 0.7228807666005954, 88.353531932439, 88.9628979093719]"
naturalists,1900-1940,2,0.7228807666005954,83.82258157692931,2,"[4.748616857417167, 0.7228807666005954, 83.82258157692931, 13.686599678364907]"
diary,1860-1900,1,3.0218470910836515,83.13128815906846,3,"[3.0218470910836515, 83.13128815906846, 33.98212766632269, 30.794849276321038]"
novels,1900-1940,2,4.3372845996035725,80.42436881029704,2,"[3.0218470910836515, 4.3372845996035725, 80.42436881029704, 85.54124798978067]"
monk,1900-1940,2,2.1686422998017862,79.2916312214196,2,"[8.202156390084197, 2.1686422998017862, 79.2916312214196, 79.83849812379529]"
major,1860-1900,1,4.316924415833788,75.90248049306251,3,"[4.316924415833788, 75.90248049306251, 29.451177310813, 26.23264938353274]"
chasuble,1900-1940,2,0.0,73.6279432770325,2,"[0.8633848831667575, 0.0, 73.6279432770325, 74.13574825780991]"
classification,1900-1940,2,0.7228807666005954,72.49520568815508,2,"[3.0218470910836515, 0.7228807666005954, 72.49520568815508, 5.702749865985378]"
pal,1900-1940,2,2.1686422998017862,71.36246809927765,2,"[1.726769766333515, 2.1686422998017862, 71.36246809927765, 21.67044949074444]"
males,1900-1940,2,1.4457615332011908,69.09699292152281,2,"[3.45353953266703, 1.4457615332011908, 69.09699292152281, 15.967699624759058]"
divorce,1860-1900,1,2.158462207916894,67.95079206045595,3,"[2.158462207916894, 67.95079206045595, 9.061900711019385, 6.843299839182453]"
varying,1900-1940,2,2.1686422998017862,65.69878015489054,2,"[12.087388364334606, 2.1686422998017862, 65.69878015489054, 22.810999463941513]"
sexual,1900-1940,2,2.8915230664023817,65.69878015489054,2,"[1.2950773247501364, 2.8915230664023817, 65.69878015489054, 5.702749865985378]"
females,1900-1940,2,2.8915230664023817,65.69878015489054,2,"[11.22400348116785, 2.8915230664023817, 65.69878015489054, 33.07594922271519]"
geographical,1900-1940,2,3.6144038330029766,64.56604256601311,2,"[3.0218470910836515, 3.6144038330029766, 64.56604256601311, 10.26494975877368]"
cells,1900-1940,2,4.3372845996035725,64.56604256601311,2,"[7.33877150691744, 4.3372845996035725, 64.56604256601311, 7.983849812379529]"
rector,1900-1940,2,0.0,64.56604256601311,2,"[23.743084287085836, 0.0, 64.56604256601311, 68.43299839182454]"
lesser,1900-1940,2,2.1686422998017862,63.4333049771357,2,"[3.0218470910836515, 2.1686422998017862, 63.4333049771357, 5.702749865985378]"
competition,1900-1940,2,4.3372845996035725,62.300567388258266,2,"[10.79231103958447, 4.3372845996035725, 62.300567388258266, 15.967699624759058]"
chariot,1900-1940,2,4.3372845996035725,62.300567388258266,2,"[12.519080805917985, 4.3372845996035725, 62.300567388258266, 62.73024852583915]"
nymphs,1900-1940,2,3.6144038330029766,61.167829799380854,2,"[2.5901546495002727, 3.6144038330029766, 61.167829799380854, 60.44914857944501]"
dragon,1900-1940,2,2.8915230664023817,58.902354621626,2,"[22.4480069623357, 2.8915230664023817, 58.902354621626, 66.15189844543038]"
links,1900-1940,2,3.6144038330029766,55.50414185499373,2,"[6.4753866237506825, 3.6144038330029766, 55.50414185499373, 17.108249597956135]"
dost,1900-1940,2,2.8915230664023817,54.37140426611631,2,"[25.90154649500273, 2.8915230664023817, 54.37140426611631, 77.55739817740114]"
mariner,1900-1940,2,4.3372845996035725,52.10592908836146,2,"[10.360618598001091, 4.3372845996035725, 52.10592908836146, 30.794849276321038]"
cylinder,1860-1900,1,0.43169244158337877,52.04741519524286,3,"[0.43169244158337877, 52.04741519524286, 7.929163122141962, 6.843299839182453]"
marsh,1860-1900,1,4.316924415833788,52.04741519524286,3,"[4.316924415833788, 52.04741519524286, 12.460113477651653, 11.405499731970757]"
awfully,1860-1900,1,3.45353953266703,50.60165366204168,3,"[3.45353953266703, 50.60165366204168, 32.84939007744527, 30.794849276321038]"
ton,1900-1940,2,3.6144038330029766,49.84045391060661,2,"[6.90707906533406, 3.6144038330029766, 49.84045391060661, 53.60584874026255]"
telegram,1860-1900,1,2.158462207916894,49.155892128840485,3,"[2.158462207916894, 49.155892128840485, 14.7255886554065, 13.686599678364907]"
subsequently,1900-1940,2,2.1686422998017862,48.707716321729194,2,"[3.885231974250409, 2.1686422998017862, 48.707716321729194, 25.092099410335663]"
pigeon,1900-1940,2,2.8915230664023817,48.707716321729194,2,"[4.316924415833788, 2.8915230664023817, 48.707716321729194, 11.405499731970757]"
rites,1900-1940,2,2.8915230664023817,47.57497873285177,2,"[2.5901546495002727, 2.8915230664023817, 47.57497873285177, 49.04364884747425]"
goodbye,1900-1940,2,2.1686422998017862,47.57497873285177,2,"[0.0, 2.1686422998017862, 47.57497873285177, 28.513749329926892]"
heroine,1900-1940,2,3.6144038330029766,47.57497873285177,2,"[3.885231974250409, 3.6144038330029766, 47.57497873285177, 49.04364884747425]"
manager,1860-1900,1,4.748616857417167,46.987249829038696,3,"[4.748616857417167, 46.987249829038696, 30.583914899690427, 25.092099410335663]"
nun,1900-1940,2,2.1686422998017862,45.309503555096924,2,"[18.994467429668667, 2.1686422998017862, 45.309503555096924, 45.62199892788303]"
specific,1900-1940,2,3.6144038330029766,45.309503555096924,2,"[9.928926156417711, 3.6144038330029766, 45.309503555096924, 10.26494975877368]"
balloon,1900-1940,2,2.8915230664023817,45.309503555096924,2,"[1.726769766333515, 2.8915230664023817, 45.309503555096924, 45.62199892788303]"
rev,1900-1940,2,1.4457615332011908,44.1767659662195,2,"[6.4753866237506825, 1.4457615332011908, 44.1767659662195, 46.7625489010801]"
temperate,1900-1940,2,4.3372845996035725,44.1767659662195,2,"[3.885231974250409, 4.3372845996035725, 44.1767659662195, 10.26494975877368]"
jar,1900-1940,2,4.3372845996035725,41.911290788464655,2,"[6.043694182167303, 4.3372845996035725, 41.911290788464655, 44.48144895468595]"
shalt,1900-1940,2,1.4457615332011908,41.911290788464655,2,"[6.043694182167303, 1.4457615332011908, 41.911290788464655, 46.7625489010801]"
diversified,1900-1940,2,0.7228807666005954,41.911290788464655,2,"[1.726769766333515, 0.7228807666005954, 41.911290788464655, 5.702749865985378]"
arctic,1900-1940,2,0.7228807666005954,40.77855319958723,2,"[3.0218470910836515, 0.7228807666005954, 40.77855319958723, 10.26494975877368]"
continents,1900-1940,2,2.8915230664023817,39.6458156107098,2,"[2.158462207916894, 2.8915230664023817, 39.6458156107098, 6.843299839182453]"
describes,1900-1940,2,4.3372845996035725,39.6458156107098,2,"[6.90707906533406, 4.3372845996035725, 39.6458156107098, 38.77869908870057]"
duchess,1860-1900,1,1.726769766333515,39.03556139643215,3,"[1.726769766333515, 39.03556139643215, 6.7964255332645385, 7.983849812379529]"
translates,1900-1940,2,0.7228807666005954,38.513078021832385,2,"[0.0, 0.7228807666005954, 38.513078021832385, 38.77869908870057]"
version,1900-1940,2,2.1686422998017862,38.513078021832385,2,"[4.748616857417167, 2.1686422998017862, 38.513078021832385, 43.34089898148888]"
steamer,1860-1900,1,1.2950773247501364,38.312680629831554,2,"[1.2950773247501364, 38.312680629831554, 3.3982127666322692, 9.124399785576605]"
dean,1900-1940,2,0.7228807666005954,37.380340432954966,2,"[24.17477672866921, 0.7228807666005954, 37.380340432954966, 36.49759914230642]"
legends,1900-1940,2,1.4457615332011908,37.380340432954966,2,"[4.316924415833788, 1.4457615332011908, 37.380340432954966, 36.49759914230642]"
duck,1900-1940,2,3.6144038330029766,37.380340432954966,2,"[6.4753866237506825, 3.6144038330029766, 37.380340432954966, 25.092099410335663]"
esthetic,1900-1940,2,0.0,36.24760284407754,2,"[0.0, 0.0, 36.24760284407754, 36.49759914230642]"
magazine,1900-1940,2,3.6144038330029766,36.24760284407754,2,"[5.612001740583925, 3.6144038330029766, 36.24760284407754, 34.21649919591227]"
cuckoo,1900-1940,2,2.8915230664023817,36.24760284407754,2,"[2.158462207916894, 2.8915230664023817, 36.24760284407754, 17.108249597956135]"
serpents,1900-1940,2,1.4457615332011908,35.114865255200115,2,"[5.1803092990005455, 1.4457615332011908, 35.114865255200115, 37.638149115503495]"
otia,1900-1940,2,0.0,35.114865255200115,2,"[0.0, 0.0, 35.114865255200115, 35.357049169109345]"
womb,1900-1940,2,0.0,35.114865255200115,2,"[0.43169244158337877, 0.0, 35.114865255200115, 28.513749329926892]"
ashplant,1900-1940,2,0.0,33.98212766632269,2,"[0.0, 0.0, 33.98212766632269, 34.21649919591227]"
burns,1900-1940,2,3.6144038330029766,33.98212766632269,2,"[6.4753866237506825, 3.6144038330029766, 33.98212766632269, 42.2003490082918]"
begat,1900-1940,2,0.0,33.98212766632269,2,"[1.726769766333515, 0.0, 33.98212766632269, 37.638149115503495]"
types,1900-1940,2,1.4457615332011908,32.84939007744527,2,"[1.726769766333515, 1.4457615332011908, 32.84939007744527, 9.124399785576605]"
examples,1900-1940,2,1.4457615332011908,32.84939007744527,2,"[6.043694182167303, 1.4457615332011908, 32.84939007744527, 14.827149651561983]"
foregoing,1900-1940,2,0.7228807666005954,32.84939007744527,2,"[4.748616857417167, 0.7228807666005954, 32.84939007744527, 12.546049705167832]"
hereditary,1900-1940,2,1.4457615332011908,32.84939007744527,2,"[9.497233714834334, 1.4457615332011908, 32.84939007744527, 18.24879957115321]"
jews,1900-1940,2,4.3372845996035725,32.84939007744527,2,"[3.45353953266703, 4.3372845996035725, 32.84939007744527, 34.21649919591227]"
telephone,1900-1940,2,0.7228807666005954,32.84939007744527,2,"[0.0, 0.7228807666005954, 32.84939007744527, 10.26494975877368]"
shakes,1900-1940,2,2.8915230664023817,32.84939007744527,2,"[22.016314520752317, 2.8915230664023817, 32.84939007744527, 36.49759914230642]"
beak,1900-1940,2,2.1686422998017862,31.71665248856785,2,"[8.202156390084197, 2.1686422998017862, 31.71665248856785, 10.26494975877368]"
nectar,1900-1940,2,0.0,31.71665248856785,2,"[1.726769766333515, 0.0, 31.71665248856785, 12.546049705167832]"
draws,1900-1940,2,4.3372845996035725,31.71665248856785,2,"[15.109235455418258, 4.3372845996035725, 31.71665248856785, 30.794849276321038]"
kidney,1900-1940,2,0.0,31.71665248856785,2,"[2.158462207916894, 0.0, 31.71665248856785, 29.654299303123967]"
tumbler,1900-1940,2,4.3372845996035725,31.71665248856785,2,"[12.950773247501365, 4.3372845996035725, 31.71665248856785, 10.26494975877368]"
homes,1900-1940,2,3.6144038330029766,31.71665248856785,2,"[15.540927897001636, 3.6144038330029766, 31.71665248856785, 10.26494975877368]"
laurel,1900-1940,2,1.4457615332011908,30.583914899690427,2,"[2.5901546495002727, 1.4457615332011908, 30.583914899690427, 28.513749329926892]"
subjected,1900-1940,2,4.3372845996035725,30.583914899690427,2,"[11.22400348116785, 4.3372845996035725, 30.583914899690427, 29.654299303123967]"
chords,1900-1940,2,2.8915230664023817,30.583914899690427,2,"[5.1803092990005455, 2.8915230664023817, 30.583914899690427, 26.23264938353274]"
paw,1900-1940,2,3.6144038330029766,30.583914899690427,2,"[5.612001740583925, 3.6144038330029766, 30.583914899690427, 34.21649919591227]"
incipient,1900-1940,2,2.1686422998017862,30.583914899690427,2,"[1.726769766333515, 2.1686422998017862, 30.583914899690427, 9.124399785576605]"
javelin,1900-1940,2,0.0,30.583914899690427,2,"[1.2950773247501364, 0.0, 30.583914899690427, 31.935399249518117]"
patches,1860-1900,1,3.885231974250409,30.360992197225006,3,"[3.885231974250409, 30.360992197225006, 14.7255886554065, 9.124399785576605]"
betrothed,1860-1900,1,3.885231974250409,30.360992197225006,3,"[3.885231974250409, 30.360992197225006, 7.929163122141962, 7.983849812379529]"
yacht,1860-1900,1,0.8633848831667575,29.63811143062441,2,"[0.8633848831667575, 29.63811143062441, 10.194638299896807, 4.5621998927883025]"
lily,1860-1900,1,3.885231974250409,29.63811143062441,3,"[3.885231974250409, 29.63811143062441, 31.71665248856785, 33.07594922271519]"
lays,1900-1940,2,4.3372845996035725,29.451177310813,2,"[24.606469170252595, 4.3372845996035725, 29.451177310813, 28.513749329926892]"
jesuit,1900-1940,2,2.8915230664023817,29.451177310813,2,"[1.726769766333515, 2.8915230664023817, 29.451177310813, 29.654299303123967]"
signifies,1900-1940,2,3.6144038330029766,29.451177310813,2,"[11.655695922751226, 3.6144038330029766, 29.451177310813, 33.07594922271519]"
similarity,1900-1940,2,3.6144038330029766,29.451177310813,2,"[2.158462207916894, 3.6144038330029766, 29.451177310813, 11.405499731970757]"
analogy,1900-1940,2,2.8915230664023817,29.451177310813,2,"[3.0218470910836515, 2.8915230664023817, 29.451177310813, 11.405499731970757]"
wanderer,1900-1940,2,4.3372845996035725,29.451177310813,2,"[7.33877150691744, 4.3372845996035725, 29.451177310813, 34.21649919591227]"
canon,1900-1940,2,2.8915230664023817,29.451177310813,2,"[0.8633848831667575, 2.8915230664023817, 29.451177310813, 21.67044949074444]"
quid,1900-1940,2,4.3372845996035725,29.451177310813,2,"[4.748616857417167, 4.3372845996035725, 29.451177310813, 31.935399249518117]"
beans,1860-1900,1,1.726769766333515,28.915230664023813,2,"[1.726769766333515, 28.915230664023813, 5.6636879443871155, 3.4216499195912267]"
cigarette,1860-1900,1,0.0,28.915230664023813,3,"[0.0, 28.915230664023813, 66.83151774376796, 51.3247487938684]"
eminently,1900-1940,2,2.8915230664023817,28.318439721935576,2,"[7.33877150691744, 2.8915230664023817, 28.318439721935576, 7.983849812379529]"
rhythm,1900-1940,2,3.6144038330029766,28.318439721935576,2,"[2.158462207916894, 3.6144038330029766, 28.318439721935576, 20.52989951754736]"
essay,1900-1940,2,2.1686422998017862,28.318439721935576,2,"[4.748616857417167, 2.1686422998017862, 28.318439721935576, 30.794849276321038]"
quote,1900-1940,2,2.1686422998017862,28.318439721935576,2,"[4.748616857417167, 2.1686422998017862, 28.318439721935576, 25.092099410335663]"
pigs,1900-1940,2,4.3372845996035725,28.318439721935576,2,"[8.202156390084197, 4.3372845996035725, 28.318439721935576, 21.67044949074444]"
snakes,1900-1940,2,4.3372845996035725,28.318439721935576,2,"[9.065541273250956, 4.3372845996035725, 28.318439721935576, 25.092099410335663]"
