word,emergence_period,emergence_index,freq_before,freq_after,persistence,freq_profile,growth_rate,peak_period,is_sustained,confidence_score
diary,1860-1900,1,3.0218470910836515,83.13128815906846,3,"[3.0218470910836515, 83.13128815906846, 33.98212766632269, 30.794849276321038]",0.40877662813667964,1860-1900,True,13.297135598928271
varieties,1900-1940,2,1.4457615332011908,487.0771632172919,2,"[8.633848831667576, 1.4457615332011908, 487.0771632172919, 10.26494975877368]",0.02107458639811931,1900-1940,True,12.380947029400389
awfully,1860-1900,1,3.45353953266703,50.60165366204168,3,"[3.45353953266703, 50.60165366204168, 32.84939007744527, 30.794849276321038]",0.6491762165884889,1860-1900,True,11.830661159063958
telegram,1860-1900,1,2.158462207916894,49.155892128840485,3,"[2.158462207916894, 49.155892128840485, 14.7255886554065, 13.686599678364907]",0.29956914660016476,1860-1900,True,11.745407992839038
algernon,1900-1940,2,0.0,309.2373617635365,2,"[0.0, 0.0, 309.2373617635365, 311.37014268280166]",1.0068969056879227,1940-1980,True,11.47467537520322
gwendolen,1900-1940,2,1.4457615332011908,202.76002840905872,2,"[0.0, 1.4457615332011908, 202.76002840905872, 204.15844520227654]",1.0068969056879227,1940-1980,True,10.633885940190623
intermediate,1900-1940,2,3.6144038330029766,189.16717734252964,2,"[5.612001740583925, 3.6144038330029766, 189.16717734252964, 12.546049705167832]",0.06632255067405479,1900-1940,True,10.49580713208498
betrothed,1860-1900,1,3.885231974250409,30.360992197225006,3,"[3.885231974250409, 30.360992197225006, 7.929163122141962, 7.983849812379529]",0.2611628457539898,1860-1900,True,10.33669450177149
lily,1860-1900,1,3.885231974250409,29.63811143062441,3,"[3.885231974250409, 29.63811143062441, 31.71665248856785, 33.07594922271519]",1.0701306850407388,1940-1980,True,10.266734116773057
agriculture,1860-1900,1,2.5901546495002727,26.746588364222028,3,"[2.5901546495002727, 26.746588364222028, 7.929163122141962, 6.843299839182453]",0.2964551222072317,1860-1900,True,9.96933867241392
muff,1860-1900,1,1.2950773247501364,24.577946064420242,3,"[1.2950773247501364, 24.577946064420242, 6.7964255332645385, 5.702749865985378]",0.27652536609245976,1860-1900,True,9.725191495014545
geological,1900-1940,2,0.7228807666005954,113.2737588877423,2,"[3.45353953266703, 0.7228807666005954, 113.2737588877423, 6.843299839182453]",0.06041381434127536,1900-1940,True,9.477193926816758
fertility,1900-1940,2,3.6144038330029766,112.14102129886489,2,"[1.726769766333515, 3.6144038330029766, 112.14102129886489, 9.124399785576605]",0.08136540652023617,1900-1940,True,9.4572700334672
complex,1860-1900,1,2.158462207916894,20.963542231417268,3,"[2.158462207916894, 20.963542231417268, 78.1588936325422, 10.26494975877368]",3.7283247635224748,1900-1940,True,9.268151722295615
hostess,1860-1900,1,3.45353953266703,20.240661464816668,3,"[3.45353953266703, 20.240661464816668, 10.194638299896807, 5.702749865985378]",0.5036712025255518,1860-1900,True,9.167752014900461
chasuble,1900-1940,2,0.0,73.6279432770325,2,"[0.8633848831667575, 0.0, 73.6279432770325, 74.13574825780991]",1.0068969056879227,1940-1980,True,8.625030023666504
sexual,1900-1940,2,2.8915230664023817,65.69878015489054,2,"[1.2950773247501364, 2.8915230664023817, 65.69878015489054, 5.702749865985378]",0.0868014573868899,1900-1940,True,8.40037332844393
varying,1900-1940,2,2.1686422998017862,65.69878015489054,2,"[12.087388364334606, 2.1686422998017862, 65.69878015489054, 22.810999463941513]",0.3472058295475596,1900-1940,True,8.40037332844393
geographical,1900-1940,2,3.6144038330029766,64.56604256601311,2,"[3.0218470910836515, 3.6144038330029766, 64.56604256601311, 10.26494975877368]",0.15898372195072463,1900-1940,True,8.366115836230914
competition,1900-1940,2,4.3372845996035725,62.300567388258266,2,"[10.79231103958447, 4.3372845996035725, 62.300567388258266, 15.967699624759058]",0.256301030538744,1900-1940,True,8.295788585179105
subsequently,1900-1940,2,2.1686422998017862,48.707716321729194,2,"[3.885231974250409, 2.1686422998017862, 48.707716321729194, 25.092099410335663]",0.515156556398472,1900-1940,True,7.812320358067577
goodbye,1900-1940,2,2.1686422998017862,47.57497873285177,2,"[0.0, 2.1686422998017862, 47.57497873285177, 28.513749329926892]",0.5993433962428112,1900-1940,True,7.766217114885098
specific,1900-1940,2,3.6144038330029766,45.309503555096924,2,"[9.928926156417711, 3.6144038330029766, 45.309503555096924, 10.26494975877368]",0.2265518037797826,1900-1940,True,7.67069440079685
temperate,1900-1940,2,4.3372845996035725,44.1767659662195,2,"[3.885231974250409, 4.3372845996035725, 44.1767659662195, 10.26494975877368]",0.2323608243895206,1900-1940,True,7.6211658547696715
diversified,1900-1940,2,0.7228807666005954,41.911290788464655,2,"[1.726769766333515, 0.7228807666005954, 41.911290788464655, 5.702749865985378]",0.13606714941728684,1900-1940,True,7.518269959696484
arctic,1900-1940,2,0.7228807666005954,40.77855319958723,2,"[3.0218470910836515, 0.7228807666005954, 40.77855319958723, 10.26494975877368]",0.25172422642198067,1900-1940,True,7.464766253019693
esthetic,1900-1940,2,0.0,36.24760284407754,2,"[0.0, 0.0, 36.24760284407754, 36.49759914230642]",1.0068969056879227,1940-1980,True,7.2351751791513745
womb,1900-1940,2,0.0,35.114865255200115,2,"[0.43169244158337877, 0.0, 35.114865255200115, 28.513749329926892]",0.8120136336192926,1900-1940,True,7.173409121006381
ashplant,1900-1940,2,0.0,33.98212766632269,2,"[0.0, 0.0, 33.98212766632269, 34.21649919591227]",1.006896905687923,1940-1980,True,7.10967458592862
foregoing,1900-1940,2,0.7228807666005954,32.84939007744527,2,"[4.748616857417167, 0.7228807666005954, 32.84939007744527, 12.546049705167832]",0.38192641250231546,1900-1940,True,7.043841961608757
hereditary,1900-1940,2,1.4457615332011908,32.84939007744527,2,"[9.497233714834334, 1.4457615332011908, 32.84939007744527, 18.24879957115321]",0.5555293272760953,1900-1940,True,7.043841961608757
nectar,1900-1940,2,0.0,31.71665248856785,2,"[1.726769766333515, 0.0, 31.71665248856785, 12.546049705167832]",0.3955666415202553,1900-1940,True,6.975768397388279
kidney,1900-1940,2,0.0,31.71665248856785,2,"[2.158462207916894, 0.0, 31.71665248856785, 29.654299303123967]",0.9349756981387853,1900-1940,True,6.975768397388279
subjected,1900-1940,2,4.3372845996035725,30.583914899690427,2,"[11.22400348116785, 4.3372845996035725, 30.583914899690427, 29.654299303123967]",0.969604427699481,1900-1940,True,6.905295937670822
incipient,1900-1940,2,2.1686422998017862,30.583914899690427,2,"[1.726769766333515, 2.1686422998017862, 30.583914899690427, 9.124399785576605]",0.2983398239075326,1900-1940,True,6.905295937670822
similarity,1900-1940,2,3.6144038330029766,29.451177310813,2,"[2.158462207916894, 3.6144038330029766, 29.451177310813, 11.405499731970757]",0.38726804064920106,1900-1940,True,6.832249314292368
analogy,1900-1940,2,2.8915230664023817,29.451177310813,2,"[3.0218470910836515, 2.8915230664023817, 29.451177310813, 11.405499731970757]",0.38726804064920106,1900-1940,True,6.832249314292368
eminently,1900-1940,2,2.8915230664023817,28.318439721935576,2,"[7.33877150691744, 2.8915230664023817, 28.318439721935576, 7.983849812379529]",0.28193113359261834,1900-1940,True,6.7564333202318965
reciprocal,1900-1940,2,0.7228807666005954,27.185702133058154,2,"[3.0218470910836515, 0.7228807666005954, 27.185702133058154, 5.702749865985378]",0.2097701886849839,1900-1940,True,6.677629665618978
summary,1900-1940,2,2.1686422998017862,27.185702133058154,2,"[8.633848831667576, 2.1686422998017862, 27.185702133058154, 7.983849812379529]",0.29367826415897746,1900-1940,True,6.677629665618978
consecutive,1900-1940,2,1.4457615332011908,27.185702133058154,2,"[3.45353953266703, 1.4457615332011908, 27.185702133058154, 6.843299839182453]",0.25172422642198067,1900-1940,True,6.677629665618978
sceptre,1900-1940,2,0.0,27.185702133058154,2,"[6.90707906533406, 0.0, 27.185702133058154, 28.513749329926892]",1.0488509434249196,1940-1980,True,6.677629665618978
aboriginal,1900-1940,2,0.7228807666005954,26.05296454418073,2,"[2.5901546495002727, 0.7228807666005954, 26.05296454418073, 5.702749865985378]",0.21889063167128758,1900-1940,True,6.595593188532709
notorious,1900-1940,2,2.8915230664023817,24.920226955303306,2,"[4.748616857417167, 2.8915230664023817, 24.920226955303306, 21.67044949074444]",0.8695927821850242,1900-1940,True,6.5100472548747605
territory,1900-1940,2,2.8915230664023817,24.920226955303306,2,"[4.748616857417167, 2.8915230664023817, 24.920226955303306, 17.108249597956135]",0.6865206175144928,1900-1940,True,6.5100472548747605
eminent,1900-1940,2,4.3372845996035725,24.920226955303306,2,"[17.699390104918532, 4.3372845996035725, 24.920226955303306, 12.546049705167832]",0.5034484528439613,1900-1940,True,6.5100472548747605
rudely,1900-1940,2,4.3372845996035725,23.787489366425884,2,"[5.612001740583925, 4.3372845996035725, 23.787489366425884, 26.23264938353274]",1.1027918490867725,1940-1980,True,6.420678129712896
tropical,1900-1940,2,4.3372845996035725,22.654751777548462,2,"[3.45353953266703, 4.3372845996035725, 22.654751777548462, 9.124399785576605]",0.40275876227516905,1900-1940,True,6.327128031165259
beauteous,1900-1940,2,1.4457615332011908,22.654751777548462,2,"[0.8633848831667575, 1.4457615332011908, 22.654751777548462, 23.95154943713859]",1.0572417509723189,1940-1980,True,6.327128031165259
chivalry,1900-1940,2,4.3372845996035725,22.654751777548462,2,"[2.5901546495002727, 4.3372845996035725, 22.654751777548462, 22.810999463941513]",1.0068969056879227,1940-1980,True,6.327128031165259
generic,1900-1940,2,0.0,22.654751777548462,2,"[2.158462207916894, 0.0, 22.654751777548462, 5.702749865985378]",0.25172422642198067,1900-1940,True,6.327128031165259
eighteenth,1900-1940,2,1.4457615332011908,22.654751777548462,2,"[11.22400348116785, 1.4457615332011908, 22.654751777548462, 23.95154943713859]",1.0572417509723189,1940-1980,True,6.327128031165259
communion,1900-1940,2,4.3372845996035725,22.654751777548462,2,"[8.633848831667576, 4.3372845996035725, 22.654751777548462, 22.810999463941513]",1.0068969056879227,1940-1980,True,6.327128031165259
christened,1900-1940,2,2.1686422998017862,21.52201418867104,2,"[5.612001740583925, 2.1686422998017862, 21.52201418867104, 22.810999463941513]",1.0598914796714975,1940-1980,True,6.228986478532491
embedded,1900-1940,2,1.4457615332011908,21.52201418867104,2,"[0.8633848831667575, 1.4457615332011908, 21.52201418867104, 5.702749865985378]",0.2649728699178744,1900-1940,True,6.228986478532491
belvedere,1900-1940,2,0.7228807666005954,21.52201418867104,2,"[0.8633848831667575, 0.7228807666005954, 21.52201418867104, 12.546049705167832]",0.5829403138193237,1900-1940,True,6.228986478532491
progeny,1900-1940,2,2.1686422998017862,21.52201418867104,2,"[1.2950773247501364, 2.1686422998017862, 21.52201418867104, 11.405499731970757]",0.5299457398357488,1900-1940,True,6.228986478532491
properties,1900-1940,2,3.6144038330029766,21.52201418867104,2,"[3.0218470910836515, 3.6144038330029766, 21.52201418867104, 21.67044949074444]",1.0068969056879227,1940-1980,True,6.228986478532491
frankincense,1900-1940,2,1.4457615332011908,20.389276599793615,2,"[0.43169244158337877, 1.4457615332011908, 20.389276599793615, 21.67044949074444]",1.0628356226705853,1940-1980,True,6.125779405941859
narrator,1900-1940,2,3.6144038330029766,20.389276599793615,2,"[3.0218470910836515, 3.6144038330029766, 20.389276599793615, 20.52989951754736]",1.0068969056879227,1940-1980,True,6.125779405941859
abnormal,1900-1940,2,0.7228807666005954,20.389276599793615,2,"[0.43169244158337877, 0.7228807666005954, 20.389276599793615, 5.702749865985378]",0.27969358491331187,1900-1940,True,6.125779405941859
eventually,1900-1940,2,3.6144038330029766,20.389276599793615,2,"[10.79231103958447, 3.6144038330029766, 20.389276599793615, 31.935399249518117]",1.5662840755145464,1940-1980,True,6.125779405941859
vicinity,1900-1940,2,4.3372845996035725,20.389276599793615,2,"[28.92339358608638, 4.3372845996035725, 20.389276599793615, 54.74639871345963]",2.6850584151677936,1940-1980,True,6.125779405941859
research,1900-1940,2,2.1686422998017862,20.389276599793615,2,"[6.043694182167303, 2.1686422998017862, 20.389276599793615, 17.108249597956135]",0.8390807547399357,1900-1940,True,6.125779405941859
yacht,1860-1900,1,0.8633848831667575,29.63811143062441,2,"[0.8633848831667575, 29.63811143062441, 10.194638299896807, 4.5621998927883025]",0.34397057733452313,1860-1900,False,3.422244705591019
piazza,1860-1900,1,1.2950773247501364,20.963542231417268,2,"[1.2950773247501364, 20.963542231417268, 1.1327375888774232, 25.092099410335663]",0.0540336922249634,1940-1980,False,3.0893839074318716
